,h3,icao_address_x,icao_address_y,percent,fill_color,line_fill_color
0,8400011ffffffff,135,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
1,8400027ffffffff,6,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
2,840011bffffffff,32,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
3,8400159ffffffff,43,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
4,84001cdffffffff,18,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
5,84002a1ffffffff,44,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
6,84002a5ffffffff,122,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
7,84002abffffffff,1,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
8,8400333ffffffff,4,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
9,8400449ffffffff,5,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
10,8400453ffffffff,9,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
11,840049dffffffff,11,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
12,84004d9ffffffff,80,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
13,84004dbffffffff,11,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
14,8400627ffffffff,1,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
15,84006a5ffffffff,10,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
16,8400751ffffffff,140,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
17,8400845ffffffff,56,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
18,8400869ffffffff,19,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
19,8400b5bffffffff,10,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
20,8400e2dffffffff,8,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
21,8400f51ffffffff,1,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
22,8400f53ffffffff,99,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
23,8401059ffffffff,30,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
24,8401093ffffffff,2,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
25,8401201ffffffff,166,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
26,8401205ffffffff,113,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
27,8401209ffffffff,77,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
28,840120bffffffff,46,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
29,8401211ffffffff,3,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
30,840122bffffffff,170,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
31,8401243ffffffff,16,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
32,8401255ffffffff,140,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
33,8401259ffffffff,8,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
34,8401261ffffffff,54,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
35,8401267ffffffff,84,24,0.285714286,"[255, 0, 0, 100]","[255, 0, 0]"
36,840126bffffffff,31,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
37,84012cbffffffff,2,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
38,84012e5ffffffff,23,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
39,84012e9ffffffff,2,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
40,840130bffffffff,32,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
41,8401319ffffffff,11,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
42,8401351ffffffff,2,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
43,8401353ffffffff,1,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
44,840135bffffffff,1,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
45,840135dffffffff,5,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
46,8401469ffffffff,1,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
47,840146bffffffff,42,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
48,8401515ffffffff,419,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
49,840151dffffffff,12,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
50,8401539ffffffff,23,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
51,840153bffffffff,169,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
52,8401541ffffffff,5,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
53,8401545ffffffff,51,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
54,840155dffffffff,12,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
55,8401581ffffffff,22,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
56,8401583ffffffff,202,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
57,8401587ffffffff,232,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
58,84015a1ffffffff,12,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
59,84015abffffffff,48,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
60,84015edffffffff,15,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
61,8401691ffffffff,22,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
62,8401699ffffffff,34,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
63,8401729ffffffff,260,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
64,840172bffffffff,76,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
65,8401735ffffffff,8,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
66,8401737ffffffff,50,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
67,8401751ffffffff,57,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
68,8401753ffffffff,84,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
69,8401ac5ffffffff,5,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
70,8402025ffffffff,163,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
71,840209bffffffff,5,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
72,8402101ffffffff,23,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
73,8402103ffffffff,5,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
74,8402107ffffffff,40,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
75,8402121ffffffff,44,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
76,8402129ffffffff,4,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
77,8402143ffffffff,10,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
78,840215dffffffff,143,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
79,8402201ffffffff,284,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
80,8402205ffffffff,416,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
81,840220bffffffff,103,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
82,8402229ffffffff,2,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
83,840222dffffffff,47,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
84,8402253ffffffff,425,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
85,8402257ffffffff,389,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
86,8402289ffffffff,76,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
87,840228dffffffff,2,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
88,840229bffffffff,44,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
89,84022a7ffffffff,2,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
90,84022d1ffffffff,26,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
91,84022d5ffffffff,248,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
92,84022dbffffffff,32,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
93,8402481ffffffff,78,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
94,8402489ffffffff,305,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
95,8402495ffffffff,9,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
96,84024a5ffffffff,26,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
97,84024adffffffff,18,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
98,84024b1ffffffff,112,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
99,84024b7ffffffff,14,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
100,84024bbffffffff,130,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
101,84024c3ffffffff,128,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
102,84024ddffffffff,76,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
103,8402525ffffffff,4,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
104,8402529ffffffff,44,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
105,8402563ffffffff,56,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
106,840256bffffffff,98,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
107,8402591ffffffff,6,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
108,8402599ffffffff,94,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
109,84025b9ffffffff,94,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
110,84025c1ffffffff,6,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
111,84025d3ffffffff,36,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
112,8402629ffffffff,15,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
113,840262dffffffff,105,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
114,8402643ffffffff,179,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
115,8402647ffffffff,19,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
116,840264bffffffff,160,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
117,8402655ffffffff,18,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
118,8402667ffffffff,29,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
119,84026b3ffffffff,19,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
120,84026bbffffffff,8,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
121,84026dbffffffff,3,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
122,8402705ffffffff,23,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
123,840270dffffffff,21,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
124,8402745ffffffff,81,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
125,840274dffffffff,33,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
126,8402763ffffffff,29,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
127,8402a43ffffffff,8,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
128,8402b05ffffffff,121,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
129,8402b07ffffffff,80,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
130,8402b29ffffffff,1,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
131,8402c17ffffffff,12,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
132,8402c93ffffffff,47,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
133,8402c9bffffffff,225,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
134,8402cbbffffffff,1,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
135,8402cc1ffffffff,1,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
136,8402d97ffffffff,11,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
137,8402e03ffffffff,105,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
138,8402e0bffffffff,98,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
139,8402e1bffffffff,22,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
140,8402e39ffffffff,236,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
