rounded_latitude,rounded_longitude,avg_nic
34.008950,-16.405070,4.925384
33.999758,-15.290352,0.057226
34.008259,-14.996966,0
34.001593,-14.890012,0.06916
33.989715,-10.700927,0
34.002719,-7.988320,4.060464
34.008886,-7.798939,0
34.005373,-7.492733,0
34.005347,-7.389709,4.803132
34.003392,-7.210210,0
33.990492,-7.096105,0.120812
34.008145,-6.605514,5.233742
34.000169,11.109625,6.509829
34.007771,26.801277,8.159171
34.009103,30.202826,5.393854
33.991910,30.294949,7.767781
34.007110,30.705434,8.195095
33.997506,30.810709,8.216702
33.992997,30.892767,7.966837
33.996388,31.389604,6.915034
34.007028,31.492205,7.762851
34.008466,31.600878,7.936869
33.990626,31.704205,8.180908
33.992033,34.105587,7.565196
33.996879,44.588668,2.545443
34.102099,-16.388287,4.598868
34.091607,-16.300734,0
34.099109,-14.889430,1.193666
34.099508,-14.789235,0
34.109401,-10.695911,0
34.092332,-10.596773,0.108286
34.109694,-7.997926,0
34.098544,-7.788645,3.961542
34.095483,-7.709056,1.27854
34.109672,-7.399997,1.890596
34.094206,-7.308739,7.443623
34.106644,-7.109395,0.07818
34.108497,-6.998876,0.126882
34.105322,-6.592722,8.108309
34.094561,-6.506661,6.576616
34.108208,11.095441,6.302516
34.099348,11.212104,6.116178
34.092348,26.791930,8.24783
34.107801,29.999614,8.118381
34.093904,30.092147,6.955829
34.090893,30.203168,7.255343
34.108215,30.301364,8.20963
34.090127,30.400750,6.252913
34.094806,30.607442,5.951866
34.104693,30.707485,5.05855
34.090725,30.904420,7.327162
34.092700,31.205296,5.20149
34.106937,31.308321,8.059816
34.107613,31.405896,8.021183
34.108390,31.502304,7.758355
34.105346,31.591807,8.10691
34.098025,31.710447,7.315742
34.108471,34.099460,7.872694
34.105166,44.610242,4.060439
34.197124,-14.789425,0
34.198311,-14.712152,0
34.190108,-10.602057,0
34.200727,-10.510272,0.846333
34.206512,-8.008736,0
34.203488,-7.690786,0
34.204036,-7.609077,0.082808
34.191315,-7.500026,0.021534
34.204170,-7.409746,0.051991
34.193082,-7.292289,3.295856
34.193840,-7.205784,7.853162
34.192287,-6.999060,0.24256
34.189769,-6.899746,1.880664
34.204706,-6.789640,8.071381
34.197639,-6.688788,7.793759
34.209033,-6.504397,6.223378
34.200374,11.187814,7.737738
34.197594,11.309878,6.832227
34.207349,24.292408,3.763913
34.198962,24.410873,0
34.209154,24.501158,1.785279
34.203283,24.590533,7.965438
34.192401,26.695589,7.912283
34.207952,30.006164,6.86528
34.199830,30.311936,7.318148
34.207084,30.405761,5.757442
34.197628,30.510749,5.890202
34.201965,30.610534,5.397952
34.206960,30.908034,5.789325
34.200393,31.011915,7.174766
34.202774,31.109476,6.63872
34.190481,31.201707,8.072661
34.198599,31.490353,8.214889
34.190405,31.600181,8.124661
34.192904,31.696219,7.809025
34.206079,34.094278,7.815024
34.198607,44.511405,2.809226
34.203538,44.609092,0
34.298764,-14.590655,0.003761
34.301231,-10.509448,1.423528
34.305394,-10.391495,0.093484
34.307680,-8.007430,1.267272
34.307363,-7.495820,1.675583
34.293249,-7.392714,0.015101
34.300361,-7.311050,0.205223
34.308596,-7.194390,7.188762
34.297788,-6.389657,5.014155
34.310040,11.302516,5.130459
34.293515,24.008515,0
34.308180,24.105224,3.095998
34.306237,24.193606,3.564647
34.299007,24.290035,5.100776
34.292712,26.595817,7.96765
34.292688,30.194129,5.260145
34.304311,30.290796,5.983293
34.293131,30.407688,4.245176
34.304461,30.810662,5.235623
34.307911,30.895951,6.326146
34.295432,31.009582,5.229483
34.308737,31.502772,8.070147
34.307643,31.599558,8.015207
34.305584,34.110022,7.791155
34.308111,44.498961,4.163025
34.407338,-14.494050,0
34.395264,-10.391902,0.183333
34.409640,-10.302537,0.050797
34.390574,-8.003092,0.747836
34.398751,-7.390576,1.376785
34.393035,-7.293376,1.716184
34.406819,-7.194032,1.823932
34.398148,-7.089208,1.188927
34.397648,-6.410263,6.004773
34.409997,-6.302769,7.998626
34.408021,-3.600787,8.10842
34.393181,-3.504791,7.062889
34.406769,-3.394762,5.601212
34.408070,-3.293491,4.04109
34.392128,11.301718,8.24608
34.404380,11.391984,6.092947
34.405903,23.708946,0
34.407749,23.796214,0.030456
34.407075,23.894913,0
34.392013,26.400944,7.979902
34.405255,26.591709,7.919384
34.391637,27.794545,0
34.395259,27.891761,0.145146
34.390582,28.796930,4.214403
34.408082,28.894585,7.08339
34.407491,29.006219,3.823148
34.393877,29.109541,7.785548
34.400663,30.011594,3.994318
34.396325,30.089373,6.308414
34.403883,30.210745,5.855501
34.401075,30.610607,5.454447
34.408895,30.695225,7.457419
34.399365,30.810952,6.837133
34.407136,30.907936,7.388077
34.403684,34.108534,7.083398
34.403122,44.308825,0
34.390701,44.404425,3.201422
34.395576,44.510869,2.130766
34.500588,-14.390710,0.226637
34.491715,-14.297150,0.189804
34.508444,-10.303551,0.990823
34.508765,-10.199287,1.428466
34.501494,-7.990155,1.764388
34.492401,-7.298561,0
34.501057,-7.211773,5.15019
34.495620,-6.290896,7.239664
34.491491,-3.298787,3.812426
34.505083,-3.207471,7.00337
34.495865,-3.108647,5.976296
34.495795,-2.991355,8.058376
34.504072,11.408789,7.504514
34.508122,11.493485,7.307662
34.507177,16.696656,3.067021
34.493328,16.791484,2.542594
34.492212,16.892674,3.586564
34.505437,17.009962,0.960191
34.508794,17.100047,1.175087
34.492173,17.207386,0.944838
34.490236,17.302265,2.113164
34.502999,17.390327,4.037499
34.505868,17.492090,1.142201
34.494415,17.592145,0
34.508184,17.698372,3.607231
34.508617,17.794507,1.356824
34.495713,17.911300,4.204693
34.492397,17.997864,1.159214
34.506925,18.090757,0.718196
34.505232,18.209186,1.248481
34.493282,18.294746,0.964749
34.491702,18.397075,3.354287
34.491179,23.299816,0.125103
34.492152,23.504446,0
34.491931,23.596991,0
34.500623,26.311422,7.856034
34.492696,26.496670,7.801367
34.493845,27.805885,4.083534
34.494542,28.391319,4.148103
34.505297,28.509364,4.717603
34.500674,28.587681,4.136902
34.495536,28.691042,1.982214
34.508400,29.900905,2.244328
34.499684,29.988026,4.508426
34.491638,30.103272,6.970981
34.495172,30.210444,8.223425
34.507883,30.402777,6.219746
34.507580,30.492791,4.442731
34.504437,30.591105,5.889148
34.500052,30.909445,7.795768
34.502943,32.090940,7.092466
34.503199,34.090751,7.252225
34.491125,44.304195,3.690101
34.500370,44.409767,2.108358
34.601642,-20.489031,7.813758
34.598504,-20.409939,8.000879
34.593430,-14.294321,8.028846
34.605072,-14.191239,8.076096
34.592869,-10.207095,0
34.607365,-10.094851,0
34.592845,-7.205075,0.75648
34.593104,-7.106446,7.134283
34.596838,-6.311844,8.232488
34.592471,-6.205746,8.173053
34.608452,-3.004252,4.04001
34.594517,-2.891257,5.116366
34.606690,-2.794053,4.808295
34.609655,-2.700123,5.402392
34.607767,11.601158,8.242382
34.591613,11.701471,7.664996
34.602681,22.808935,8.132273
34.595317,22.910875,7.775416
34.603216,23.009474,5.187365
34.607025,25.495362,0
34.605047,25.592822,0
34.610209,25.701875,0
34.590767,25.799356,0
34.604726,26.489533,5.735235
34.593579,27.690657,6.629199
34.608045,27.899090,7.919385
34.609679,28.000234,1.766336
34.593522,28.094685,2.758477
34.600749,28.210880,0
34.595345,29.792506,5.278689
34.610016,29.899021,6.20013
34.592974,30.105958,5.479597
34.609062,30.201646,4.407096
34.603832,30.291151,6.970891
34.598927,30.390813,5.828628
34.592286,30.894728,5.991222
34.603523,31.989172,7.334737
34.607642,32.099709,7.859836
34.606638,44.191166,0
34.599803,44.312263,1.6761
34.599732,44.387514,4.43352
34.591781,44.598132,7.795589
34.700949,-20.311918,8.144144
34.698615,-14.087593,7.859666
34.696086,-10.111132,0.123633
34.694499,-9.992305,0
34.701214,-6.189782,8.213254
34.703481,-6.089935,7.875902
34.692192,-6.001791,8.203585
34.698982,-2.689915,8.087524
34.704524,-2.591585,6.980955
34.697104,-2.509806,7.01024
34.708798,-2.400347,6.719702
34.706501,-2.309469,8.158653
34.702871,11.788046,7.194941
34.692701,11.903927,6.280682
34.694192,21.990358,7.922388
34.698056,22.112169,5.979172
34.707432,22.207030,7.46742
34.697760,22.308985,8.146976
34.709726,22.398782,7.668075
34.701472,22.490377,8.076672
34.698878,22.611957,7.850207
34.709857,22.702005,7.793074
34.692768,22.796571,8.039981
34.700108,25.910494,2.635584
34.701421,26.010543,0
34.692336,26.102299,0.912393
34.698386,26.210387,0.115901
34.702729,26.290134,1.586718
34.709949,26.401948,5.866169
34.709180,26.500634,0.693296
34.706779,26.606425,0.995019
34.692624,26.704245,0.049038
34.696175,26.810788,1.096756
34.700647,26.888257,4.594428
34.695001,26.992190,2.606502
34.690488,27.702476,3.878993
34.705537,27.910119,6.992691
34.700840,29.690671,3.299722
34.699092,29.810202,2.875971
34.691374,29.996643,5.449319
34.697946,30.111236,4.6085
34.696880,30.189108,6.280186
34.693044,30.893880,8.100768
34.692124,31.495428,7.244629
34.691422,31.594245,6.863856
34.707360,31.697320,8.116671
34.691542,31.797941,7.688905
34.707932,31.899475,6.694127
34.707780,32.006743,7.405783
34.693577,44.194855,4.143285
34.696968,44.310655,0.994622
34.693253,44.406691,8.102962
34.703670,44.611489,8.980555
34.790416,-20.303073,7.76757
34.793709,-20.190879,8.116923
34.808794,-14.098246,8.073859
34.793885,-14.007677,4.22004
34.807883,-13.899766,0.179175
34.791065,-9.999777,0.488248
34.793360,-6.094948,8.220508
34.800232,-5.987660,7.663039
34.807040,-5.895387,7.986638
34.792830,-2.292341,7.770218
34.807561,-2.197169,6.69309
34.799484,-2.088802,6.035862
34.794502,-1.992325,4.866761
34.789762,-1.899267,6.735935
34.807559,11.908240,8.947845
34.807744,12.000685,3.95128
34.802379,21.510138,7.958883
34.799784,21.612514,8.193036
34.804155,21.708842,7.631797
34.794365,21.809121,8.264589
34.793119,21.906582,7.236381
34.792213,21.997056,7.394081
34.799539,22.090702,7.258905
34.806713,22.204463,8.164379
34.796789,22.308986,8.215341
34.791772,25.799736,0
34.791722,26.994858,0
34.808501,27.097748,0.029113
34.806889,27.192939,4.459957
34.799888,27.587476,4.453359
34.808982,29.601466,3.38313
34.804442,29.691661,2.87731
34.808070,29.797982,4.73065
34.804007,29.909286,5.221642
34.794346,29.992731,5.103386
34.810033,30.801790,8.16709
34.795379,30.890712,6.867228
34.794952,31.009922,4.62339
34.802849,31.109254,7.35747
34.798591,31.209337,5.52435
34.798673,31.288048,7.487127
34.800625,31.410113,6.539982
34.795504,31.489452,0.103493
34.792366,31.799591,7.849676
34.793604,31.909459,7.443936
34.795118,31.988984,7.866971
34.809056,44.194485,0
34.804003,44.290856,4.487931
34.806575,44.490443,8.820966
34.810136,45.001253,0
34.891935,-23.195226,0.091589
34.908249,-23.099024,8.007762
34.891555,-22.995985,7.818739
34.906186,-20.190950,7.857384
34.892731,-20.105416,8.116724
34.903604,-13.888265,8.128608
34.905968,-13.805811,3.96948
34.904800,-12.411015,7.989468
34.901869,-10.690681,0.062254
34.902922,-10.012062,0
34.892000,-9.898431,0.092457
34.908925,-8.798955,5.126626
34.906262,-8.690579,8.346821
34.892922,-6.007303,8.043158
34.891616,-5.903449,7.998974
34.909122,-2.194712,4.693955
34.893796,-2.106902,4.382848
34.890101,-2.000340,5.049502
34.891447,-1.896065,7.886345
34.892890,-1.806284,5.886517
34.906393,-1.693684,5.298149
34.891698,-1.606263,8.186375
34.905797,11.609189,5.646161
34.902214,20.989159,8.057463
34.908141,21.093365,7.446584
34.907713,21.208353,6.176572
34.903376,21.288716,7.313738
34.907031,21.407653,7.154995
34.902604,21.488759,6.249751
34.907643,21.599774,7.61863
34.891899,21.692359,7.812904
34.892514,27.503309,2.621677
34.892043,27.606413,8.15333
34.908842,29.500564,4.117744
34.899619,29.589231,6.39221
34.905800,29.709501,3.776062
34.889921,29.802125,3.960087
34.893299,29.892192,5.264276
34.906222,30.506721,7.762024
34.902481,30.588125,5.187756
34.898215,30.688903,4.225746
34.896932,30.790110,8.188627
34.891781,30.899854,6.461503
34.908205,31.794843,7.436752
34.896838,31.890087,8.06523
34.900265,33.390143,7.461133
34.892479,33.506358,6.165818
34.904576,33.589909,6.091479
34.891992,44.099109,0
34.905436,44.209375,5.590734
34.898280,44.290230,8.010741
34.890622,44.500677,5.689264
34.905658,44.908016,0
35.001552,-22.787870,7.759663
35.006853,-22.693258,8.069227
35.001249,-20.011219,2.449615
34.999975,-19.887405,0.171145
35.003303,-13.790990,4.143375
34.999153,-13.712216,0
35.009241,-12.295637,8.188936
34.992677,-10.708884,0.518187
35.009038,-8.704855,4.661996
34.995055,-7.192539,8.155944
34.995834,-5.911259,8.00542
34.993604,-5.794555,7.940381
35.002075,-1.590874,7.23847
35.005127,-1.492216,5.65461
34.994318,-1.408110,3.802329
35.006613,11.606362,6.523185
35.008460,20.395921,0.060294
35.006129,20.505832,0.053534
35.007523,20.605317,5.421422
35.007610,20.701985,8.152387
34.992350,20.801686,8.000723
35.000767,20.888700,7.03319
35.010155,21.000437,6.14504
35.007450,21.094230,5.862372
34.992316,21.194086,6.839085
34.995889,21.288889,7.441455
35.002184,21.410087,7.392463
34.989861,21.498516,7.948016
34.993692,27.307377,3.860416
35.005633,27.408713,3.357907
35.006213,27.508501,4.987272
34.998166,29.311902,4.499617
34.998240,29.389408,4.410376
35.005344,29.490749,4.592307
35.003255,29.608745,6.28855
35.007133,29.691286,4.981282
35.002258,29.788247,6.335045
34.995494,29.909758,4.18016
34.999821,29.989722,3.335321
35.008115,30.104217,4.94808
34.991968,30.194438,3.984188
34.996409,30.289511,5.870753
34.993283,30.394770,4.001088
34.995574,30.491003,4.843071
34.992186,30.601466,5.932607
34.995300,30.691947,7.700044
34.992368,30.801569,7.790958
34.996124,30.889155,6.883868
35.009045,30.998628,8.248929
34.997170,31.111827,3.75362
35.006079,31.690307,7.145447
35.005693,31.791639,7.052542
35.007003,32.993891,3.030266
35.006891,33.091464,8.153633
35.001218,33.210502,6.306692
34.994629,33.289972,6.327433
